OID_,Value,Count,testerCounties_PolygonToRaster,whp2020_cls_conus,GEOID,NAME,class_desc,Value_1,weighted_wfhp
1,1,7588,1,1,48189,Hale,1: Very Low,1,1.362602936
2,2,24522,1,6,48189,Hale,6: Non-burnable,NA,1.362602936
3,3,3133,1,2,48189,Hale,2: Low,2,1.362602936
4,4,19631,3,6,48153,Floyd,6: Non-burnable,NA,2.352045062
5,5,5208,3,1,48153,Floyd,1: Very Low,1,2.352045062
6,6,3683,3,2,48153,Floyd,2: Low,2,2.352045062
7,7,3247,3,3,48153,Floyd,3: Moderate,3,2.352045062
8,8,2994,3,4,48153,Floyd,4: High,4,2.352045062
9,9,491,3,5,48153,Floyd,5: Very High,5,2.352045062
10,10,3160,4,6,48345,Motley,6: Non-burnable,NA,3.153721126
11,11,702,4,1,48345,Motley,1: Very Low,1,3.153721126
12,12,17812,4,3,48345,Motley,3: Moderate,3,3.153721126
13,13,3828,4,2,48345,Motley,2: Low,2,3.153721126
14,14,9152,4,4,48345,Motley,4: High,4,3.153721126
15,15,435,1,3,48189,Hale,3: Moderate,3,1.362602936
16,16,499,4,5,48345,Motley,5: Very High,5,3.153721126
17,17,6,1,7,48189,Hale,7: Water,NA,1.362602936
18,18,4,3,7,48153,Floyd,7: Water,NA,2.352045062
19,19,16,4,7,48345,Motley,7: Water,NA,3.153721126
20,20,16,1,4,48189,Hale,4: High,4,1.362602936
21,21,23324,5,6,48303,Lubbock,6: Non-burnable,NA,1.600905187
22,22,4859,5,1,48303,Lubbock,1: Very Low,1,1.600905187
23,23,2574,5,2,48303,Lubbock,2: Low,2,1.600905187
24,24,953,5,3,48303,Lubbock,3: Moderate,3,1.600905187
25,25,226,5,4,48303,Lubbock,4: High,4,1.600905187
26,26,16319,2,6,48107,Crosby,6: Non-burnable,NA,2.643956325
27,27,3026,2,1,48107,Crosby,1: Very Low,1,2.643956325
28,28,7480,2,3,48107,Crosby,3: Moderate,3,2.643956325
29,29,2353,2,2,48107,Crosby,2: Low,2,2.643956325
30,30,9339,6,2,48125,Dickens,2: Low,2,2.642571399
31,31,1925,6,1,48125,Dickens,1: Very Low,1,2.642571399
32,32,14783,6,3,48125,Dickens,3: Moderate,3,2.642571399
33,33,3399,6,6,48125,Dickens,6: Non-burnable,NA,2.642571399
34,34,2486,6,4,48125,Dickens,4: High,4,2.642571399
35,35,2775,2,4,48107,Crosby,4: High,4,2.643956325
36,36,214,6,5,48125,Dickens,5: Very High,5,2.642571399
37,37,7709,7,3,48269,King,3: Moderate,3,2.467831715
38,38,18370,7,2,48269,King,2: Low,2,2.467831715
39,39,10,6,7,48125,Dickens,7: Water,NA,2.642571399
40,40,1534,7,6,48269,King,6: Non-burnable,NA,2.467831715
41,41,1531,7,1,48269,King,1: Very Low,1,2.467831715
42,42,1698,7,5,48269,King,5: Very High,5,2.467831715
43,43,1592,7,4,48269,King,4: High,4,2.467831715
44,44,62,5,7,48303,Lubbock,7: Water,NA,1.600905187
45,45,27,2,5,48107,Crosby,5: Very High,5,2.643956325
46,46,60,2,7,48107,Crosby,7: Water,NA,2.643956325
47,47,16,7,7,48269,King,7: Water,NA,2.467831715
48,48,5,5,5,48303,Lubbock,5: Very High,5,1.600905187
